PersonID,PAH,Gender,PregnantThisYear,Age,Relationship,MaritalStatus,ResidentialStatus,Education,PrimaryOccupation,SecondaryOccupation,PrimarySkill,SecondarySkill,Disabled,Disabilities
408,PAH001,Female,FALSE,40,Household Head,Married,Live in Household,Some Senior Secondary,Farmer,None,Baker,Tailoring,FALSE,
879,PAH001,Male,FALSE,45,Household Head,Married,Live in Household,Completed Primary (Grade 7),Formally Employed (Other),Farmer,Driving,None,FALSE,
880,PAH002,Female,FALSE,40,Household Head,Married,Live in Household,Some Junior Secondary,Farmer,Farmer,Tailoring,Beautician_Hairdresser,FALSE,
409,PAH002,Male,FALSE,30,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Farmer,None,None,FALSE,
120,PAH004,Female,FALSE,21,Household Head,Single,Live in Household,Completed Primary (Grade 7),Farmer,None,None,None,FALSE,
121,PAH005,Female,FALSE,28,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Farmer,None,None,FALSE,
122,PAH006,Male,FALSE,69,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Pieceworker,Selling cattlebussb,Bussiness,FALSE,
123,PAH007,Male,FALSE,68,Household Head,Married,Lives in Sioma Town,Trade Diploma,Self-Employed Businessperson,Farmer,Teaching,contractor building,FALSE,
124,PAH008,Female,FALSE,57,Household Head,Single,Live in Household,Some Senior Secondary,Self-Employed Businessperson,Farmer,None,,FALSE,
105,PAH009,Male,FALSE,52,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),Farmer,Farmer,Masonry_bricklaying,,FALSE,
106,PAH013,Female,FALSE,83,Household Head,Widowed,Live in Household,Some Junior Secondary,Farmer,Farmer,None,,FALSE,
106,PAH013,Female,FALSE,83,Household Head,Widowed,Live in Household,Some Junior Secondary,Farmer,Farmer,None,,FALSE,
129,PAH018,Female,FALSE,27,Household Head,Single,Live in Household,Some Primary School,Farmer,Farmer,Mate waving,,FALSE,
130,PAH021,Female,FALSE,50,Household Head,Widowed,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Farmer,None,,FALSE,
411,PAH022,Male,FALSE,29,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Carpenter,Carpentry,,FALSE,
882,PAH022,Female,FALSE,20,Household Head,Married,Live in Household,Some Primary School,Pieceworker,Informal Trader,,,FALSE,
132,PAH023,Female,TRUE,27,Household Head,Single,Live in Household,Completed Senior Secondary (Grade 12),Farmer,None,Baker,,FALSE,
412,PAH024,Male,FALSE,25,Household Head,Married,Live in Household,Some Primary School,Bricklaying,Farmer,Masonry_bricklaying,,FALSE,
133,PAH025,Female,FALSE,54,Household Head,Widowed,Live in Household,Pre-School (Below Age 5),Farmer,,Fishing,,FALSE,
410,PAH026,Male,FALSE,33,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),Pieceworker,Pieceworker,Auto_mechanic,,FALSE,
125,PAH028,Female,FALSE,74,Household Head,Widowed,Live in Household,Some Primary School,Farmer,Farmer,Tailoring,,FALSE,
892,PAH029,Male,FALSE,40,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),Formally Employed (Other),Farmer,Driving,,FALSE,
892,PAH029,Male,FALSE,41,Household Head,Married,Migrant Worker (Monthly),Completed Senior Secondary (Grade 12),Self-Employed Businessperson,Pieceworker,Driving,,FALSE,
413,PAH030,Male,FALSE,24,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Formally Employed (Other),Farmer,Fishing,,FALSE,
134,PAH033,Female,TRUE,31,Household Head,Single,Live in Household,Trade Diploma,Informal Trader,Farmer,Teaching,,FALSE,
414,PAH035,Male,FALSE,30,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Fisherman/Hunter/Gatherer,Carpentry,,FALSE,
416,PAH039,Male,FALSE,63,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Farmer,Agricultural,,FALSE,
417,PAH041,Male,FALSE,53,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Fisherman/Hunter/Gatherer,Carpentry,,FALSE,
139,PAH043,Female,FALSE,20,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Farmer,Catering,,FALSE,
140,PAH044,Female,FALSE,39,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Formally Employed (Other),Informal Trader,Tailoring,,FALSE,
141,PAH046,Male,FALSE,33,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Farmer,None,,FALSE,
142,PAH048,Male,FALSE,74,Household Head,Widowed,Live in Household,Some Primary School,Unemployed (Actively Seeking),Unemployed (Actively Seeking),Agricultural,,FALSE,
143,PAH049,Female,FALSE,69,Household Head,Widowed,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Informal Trader,Crafting,,FALSE,
889,PAH050,Female,FALSE,41,Household Head,Married,Quarterly,Completed Junior Secondary (Grade 9),None,None,Tailoring,,FALSE,
418,PAH050,Male,FALSE,47,Household Head,Married,Quarterly,Trade Diploma,Teacher,None,Teaching,,FALSE,
144,PAH051,Female,FALSE,74,Household Head,Widowed,Live in Household,No Education (Adult),Farmer,None,Agricultural,,FALSE,
86,PAH052,Female,FALSE,42,Household Head,Single,Live in Household,Completed Senior Secondary (Grade 12),Unemployed (Actively Seeking),Informal Trader,Tailoring,,FALSE,
145,PAH053,Female,FALSE,31,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Informal Trader,None,Crafting,,FALSE,
108,PAH059,Male,FALSE,41,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Formally Employed (Other),None,Driving,Karate,FALSE,
151,PAH061,Female,FALSE,33,Household Head,Divorced,Live in Household,Some Junior Secondary,Fisherman/Hunter/Gatherer,Farmer,Fishing,,FALSE,
152,PAH062,Male,FALSE,24,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,None,Carpentry,,FALSE,
153,PAH063,Male,FALSE,73,Household Head,Divorced,Live in Household,Some Primary School,Farmer,None,Agricultural,Fishing,FALSE,
154,PAH064,Male,FALSE,41,Household Head,Single,Live in Household,No Education (Adult),Pieceworker,Painter,Agricultural,Painter,FALSE,
155,PAH065,Female,FALSE,37,Household Head,Divorced,Live in Household,Some Primary School,Self-Employed Businessperson,Informal Trader,Agricultural,,FALSE,
157,PAH066,Female,FALSE,73,Household Head,Married,Live in Household,Some Primary School,Farmer,Handcrafts (Basket Weaving/Carving),Crafting,,TRUE,
158,PAH067,Male,FALSE,51,Household Head,Single,Live in Household,Some Junior Secondary,Fisherman/Hunter/Gatherer,Farmer,Agricultural,,TRUE,
159,PAH068,Female,FALSE,25,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Informal Trader,Farmer,Crafting,,FALSE,
161,PAH069,Female,FALSE,61,Household Head,Widowed,Live in Household,Some Primary School,Handcrafts (Basket Weaving/Carving),Farmer,Crafting,,FALSE,
163,PAH071,Male,FALSE,31,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Self-Employed Businessperson,Masonry_bricklaying,,FALSE,
164,PAH072,Female,FALSE,33,Household Head,Married,Married in Sesheke (Visits Monthly),Some Junior Secondary,Self-Employed Businessperson,Pieceworker,Buys and sales clothes,,FALSE,
170,PAH079,Male,FALSE,21,Household Head,Single,Live in Household,Some Primary School,Fisherman/Hunter/Gatherer,Farmer,None,,FALSE,
171,PAH080,Female,FALSE,21,Household Head,Single,Live in Household,Some Primary School,Farmer,None,None,,FALSE,
420,PAH081,Male,FALSE,54,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Carpenter,Carpentry,,FALSE,
894,PAH083,Male,FALSE,45,Household Head,Married,Live in Household,Some Primary School,Self-Employed Businessperson,,Masonry_bricklaying,,FALSE,
424,PAH084,Male,FALSE,25,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),Pieceworker,Farmer,Carpentry,,FALSE,
172,PAH085,Female,FALSE,21,Household Head,Married,Live in Household,Completed Senior Secondary (Grade 12),None,None,Baker,,FALSE,
425,PAH086,Male,FALSE,25,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Carpenter,Agricultural,,FALSE,
896,PAH086,Female,FALSE,20,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Farmer,,None,,FALSE,
173,PAH087,Female,FALSE,20,Household Head,Single,Live in Household,Completed Senior Secondary (Grade 12),Informal Trader,Farmer,Auto_mechanic,,FALSE,
174,PAH088,Female,TRUE,41,Household Head,Widowed,Live in Household,Some Primary School,Farmer,Self-Employed Businessperson,,,FALSE,
426,PAH093,Male,FALSE,58,Household Head,Married,Live in Household,Some Primary School,Farmer,Fisherman/Hunter/Gatherer,Carpentry,,FALSE,
897,PAH093,Female,FALSE,,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Handcrafts (Basket Weaving/Carving),None,,FALSE,
179,PAH094,Male,FALSE,23,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Fisherman/Hunter/Gatherer,Farmer,None,,FALSE,
427,PAH099,Male,FALSE,73,Household Head,Married,Recreation Place,Some Tertiary,Retired,,Swimming pool constructionBuilding,Building,FALSE,
182,PAH100,Female,TRUE,21,Household Head,Single,Live in Household,Completed Primary (Grade 7),Farmer,Handcrafts (Basket Weaving/Carving),Agricultural,Crafting,FALSE,
428,PAH101,Male,FALSE,52,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Disabled (Unable to Work),Disabled (Unable to Work),None,None,TRUE,unable to work has a problem with both
183,PAH102,Male,FALSE,28,Household Head,Married,Live in Household,,Farmer,Fisherman/Hunter/Gatherer,Carpentry,Carpentry,FALSE,
900,PAH103,Male,FALSE,40,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Fisherman/Hunter/Gatherer,Carpentry,Agricultural,FALSE,
429,PAH103,Female,FALSE,32,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Pieceworker,Agricultural,Agricultural,FALSE,
184,PAH109,Female,FALSE,19,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Pieceworker,Farmer,Beautician_Hairdresser,None,FALSE,
432,PAH110,Male,FALSE,52,Household Head,Married,Live in Household,Completed Primary (Grade 7),Farmer,Fisherman/Hunter/Gatherer,Agricultural,Agricultural,FALSE,
196,PAH111,Male,FALSE,44,Household Head,Married,Live in Household,Some Senior Secondary,Formally Employed (Other),Carpenter,Carpentry,Auto_mechanic,FALSE,
443,PAH112,Male,FALSE,42,Household Head,Married,Live in Household,Some Senior Secondary,Self-Employed Businessperson,Carpenter,Carpentry,Driving,FALSE,
433,PAH113,Male,FALSE,28,Household Head,Married,Live in Household,Some Junior Secondary,Farmer,Pieceworker,None,None,FALSE,
185,PAH114,Female,FALSE,24,Household Head,Single,Live in Household,Some Senior Secondary,Farmer,Self-Employed Businessperson,None,None,FALSE,
434,PAH115,Male,FALSE,51,Household Head,Married,Live in Household,Some Primary School,Farmer,Fisherman/Hunter/Gatherer,Agricultural,None,FALSE,
186,PAH130,Female,FALSE,63,Household Head,Married,Live in Household,No Education (Adult),Farmer,Farmer,Mat weaving,None,FALSE,
435,PAH132,Male,FALSE,72,Household Head,Single,Live in Household,Completed Primary (Grade 7),Farmer,Farmer,None,None,FALSE,
436,PAH137,Male,FALSE,40,Household Head,Married,Live in Household,Some Primary School,Farmer,Farmer,Business (groceries),None,FALSE,
436,PAH137,Male,FALSE,40,Household Head,Married,Live in Household,Some Primary School,Farmer,Farmer,Business (groceries,None,FALSE,
188,PAH143,Female,FALSE,26,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Informal Trader,Informal Trader,Agricultural,None,FALSE,
919,PAH375,Male,FALSE,43,Household Head,Married,Live in Household,Some Junior Secondary,Farmer,Fisherman/Hunter/Gatherer,Driving,Agricultural,FALSE,
450,PAH416,Male,FALSE,44,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Formally Employed (Other),Farmer,Driving,Agricultural,TRUE,difficulty in walking long distance
456,PAH436,Male,FALSE,41,Household Head,Married,Live in Household,Completed Junior Secondary (Grade 9),Farmer,Self-Employed Businessperson,Agricultural,None,FALSE,
926,PAH436,Female,FALSE,30,Household Head,Married,Live in Household,Some Junior Secondary,Self-Employed Businessperson,Farmer,Agricultural,None,FALSE,
457,PAH438,Male,FALSE,43,Household Head,Married,Migrant Worker (Monthly),Completed Senior Secondary (Grade 12),Self-Employed Businessperson,Farmer,Driving,Plumbing,FALSE,
372,PAH445,Male,FALSE,47,Household Head,Single,Live in Household,Completed Junior Secondary (Grade 9),Disabled (Unable to Work),Disabled (Unable to Work),None,None,TRUE,Mobility_impairment
14,PAH454,Male,FALSE,48,Household Head,Married,Not Living in This Place,No Education (Adult),Farmer,Pieceworker,Comptain,None,FALSE,
467,PAH455,Male,FALSE,47,Household Head,Married,Live in Household,Some Primary School,Farmer,Fisherman/Hunter/Gatherer,Carpentry,Crafting,FALSE,
467,PAH685,Male,FALSE,47,Household Head,Married,Live in Household,Some Primary School,Farmer,Pieceworker,Carpentry,Crafting,FALSE,
